"SPXNFET.Code.or.Value","SPXNFET.Value.Description","SPXNFET.Count","SPXNFET.Cumulative","SPXNFET.Skip.to.Item"
"1.1 to 28.6","Range of Values",6652,6652,NA
".","Missing",843,7495,NA
