"LBDSTRSI.Code.or.Value","LBDSTRSI.Value.Description","LBDSTRSI.Count","LBDSTRSI.Cumulative","LBDSTRSI.Skip.to.Item"
"0.102 to 30.404","Range of Values",6856,6856,NA
".","Missing",513,7369,NA
