"WBXA105.Code.or.Value","WBXA105.Value.Description","WBXA105.Count","WBXA105.Cumulative","WBXA105.Skip.to.Item"
"-36.3775 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
