"URXGLP2.Code.or.Value","URXGLP2.Value.Description","URXGLP2.Count","URXGLP2.Cumulative","URXGLP2.Skip.to.Item"
"0.59 to 2.16","Range of Values",2572,2572,NA
".","Missing",183,2755,NA
