"DXXPT92Y.Code.or.Value","DXXPT92Y.Value.Description","DXXPT92Y.Count","DXXPT92Y.Cumulative","DXXPT92Y.Skip.to.Item"
"157.5 to 396.6","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
