"SXD510.Code.or.Value","SXD510.Value.Description","SXD510.Count","SXD510.Cumulative","SXD510.Skip.to.Item"
"0 to 500","Range of Values",1789,1789,NA
"77777","Refused",3,1792,NA
"99999","Don't know",3,1795,NA
".","Missing",3262,5057,NA
