"MCQ160C.Code.or.Value","MCQ160C.Value.Description","MCQ160C.Count","MCQ160C.Cumulative","MCQ160C.Skip.to.Item"
"1","Yes",264,264,"MCQ180C"
"2","No",4748,5012,""
"7","Refused",0,5012,""
"9","Don't know",28,5040,""
".","Missing",4605,9645,""
