"LBXVEA.Code.or.Value","LBXVEA.Value.Description","LBXVEA.Count","LBXVEA.Cumulative","LBXVEA.Skip.to.Item"
"0.112 to 142","Range of Values",2965,2965,NA
".","Missing",429,3394,NA
