"DR1INIAC.Code.or.Value","DR1INIAC.Value.Description","DR1INIAC.Count","DR1INIAC.Cumulative","DR1INIAC.Skip.to.Item"
"0 to 153","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
