"LBDSUASI.Code.or.Value","LBDSUASI.Value.Description","LBDSUASI.Count","LBDSUASI.Cumulative","LBDSUASI.Skip.to.Item"
"23.8 to 862.5","Range of Values",6891,6891,NA
".","Missing",554,7445,NA
