"PAXLXSH.Code.or.Value","PAXLXSH.Value.Description","PAXLXSH.Count","PAXLXSH.Cumulative","PAXLXSH.Skip.to.Item"
"0 to 150000","Range of Values",1477045,1477045,NA
".","Missing",0,1477045,NA
