"AUDTYR40.Code.or.Value","AUDTYR40.Value.Description","AUDTYR40.Count","AUDTYR40.Cumulative","AUDTYR40.Skip.to.Item"
"0 to 3.09","Range of Values",1890,1890,NA
".","Missing",156,2046,NA
