"MCQ267C.Code.or.Value","MCQ267C.Value.Description","MCQ267C.Count","MCQ267C.Cumulative","MCQ267C.Skip.to.Item"
"3","Father's Father",57,57,NA
"7","Refused",0,57,NA
"9","Don't know",0,57,NA
".","Missing",9588,9645,NA
