"URXUMO.Code.or.Value","URXUMO.Value.Description","URXUMO.Count","URXUMO.Cumulative","URXUMO.Skip.to.Item"
"1.18 to 402.57","Range of Values",2372,2372,NA
".","Missing",90,2462,NA
