"DXXPT0Y.Code.or.Value","DXXPT0Y.Value.Description","DXXPT0Y.Count","DXXPT0Y.Cumulative","DXXPT0Y.Skip.to.Item"
"95.8 to 320.1","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
