"URDUDALC.Code.or.Value","URDUDALC.Value.Description","URDUDALC.Count","URDUDALC.Cumulative","URDUDALC.Skip.to.Item"
"0","At or above the detection limit",1734,1734,NA
"1","Below lower detection limit",654,2388,NA
".","Missing",74,2462,NA
