"TYXP234.Code.or.Value","TYXP234.Value.Description","TYXP234.Count","TYXP234.Cumulative","TYXP234.Skip.to.Item"
"-298 to 138","Range of Values",119,119,NA
".","Missing",5466,5585,NA
