"LBDGLTSI.Code.or.Value","LBDGLTSI.Value.Description","LBDGLTSI.Count","LBDGLTSI.Cumulative","LBDGLTSI.Skip.to.Item"
"1.665 to 31.03","Range of Values",2574,2574,NA
".","Missing",589,3163,NA
