"URXUAC.Code.or.Value","URXUAC.Value.Description","URXUAC.Count","URXUAC.Cumulative","URXUAC.Skip.to.Item"
"0.08 to 31.8","Range of Values",2654,2654,NA
".","Missing",101,2755,NA
