"SMD410.Code.or.Value","SMD410.Value.Description","SMD410.Count","SMD410.Cumulative","SMD410.Skip.to.Item"
"1","Yes",1840,1840,""
"2","No",8230,10070,"End of Section"
"7","Refused",2,10072,"End of Section"
"9","Don't know",0,10072,"End of Section"
".","Missing",77,10149,""
