"AUXRR213.Code.or.Value","AUXRR213.Value.Description","AUXRR213.Count","AUXRR213.Cumulative","AUXRR213.Skip.to.Item"
"-12 to 59","Range of Values",1878,1878,NA
".","Missing",168,2046,NA
