"WTMREP40.Code.or.Value","WTMREP40.Value.Description","WTMREP40.Count","WTMREP40.Cumulative","WTMREP40.Skip.to.Item"
"0 to 262655.33471","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
