"VTQ280A.Code.or.Value","VTQ280A.Value.Description","VTQ280A.Count","VTQ280A.Cumulative","VTQ280A.Skip.to.Item"
"1","Yes",224,224,NA
"2","No",3015,3239,NA
"7","Refused",0,3239,NA
"9","Don't know",1,3240,NA
".","Missing",305,3545,NA
