"DXXPT26Y.Code.or.Value","DXXPT26Y.Value.Description","DXXPT26Y.Count","DXXPT26Y.Cumulative","DXXPT26Y.Skip.to.Item"
"96.2 to 296.5","Range of Values",2992,2992,NA
".","Missing",716,3708,NA
