"DTD240Q.Code.or.Value","DTD240Q.Value.Description","DTD240Q.Count","DTD240Q.Cumulative","DTD240Q.Skip.to.Item"
"0 to 42","Range of Values",7844,7844,NA
"777","Refused",3,7847,NA
"999","Don't know",7,7854,NA
".","Missing",687,8541,NA
