"DBD411.Code.or.Value","DBD411.Value.Description","DBD411.Count","DBD411.Cumulative","DBD411.Skip.to.Item"
"1 to 5","Range of Values",1152,1152,""
"0","None",1370,2522,"DBQ422"
"7777","Refused",0,2522,"DBQ422"
"9999","Don't know",5,2527,"DBQ422"
".","Missing",7821,10348,""
