"RFXT144.Code.or.Value","RFXT144.Value.Description","RFXT144.Count","RFXT144.Cumulative","RFXT144.Skip.to.Item"
"1256 to 1265","Range of Values",51053,51053,NA
".","Missing",23,51076,NA
