"URDGAMLC.Code.or.Value","URDGAMLC.Value.Description","URDGAMLC.Count","URDGAMLC.Cumulative","URDGAMLC.Skip.to.Item"
"0","At or above the detection limit",1100,1100,NA
"1","Below lower detection limit",1366,2466,NA
".","Missing",85,2551,NA
