"WHD100M.Code.or.Value","WHD100M.Value.Description","WHD100M.Count","WHD100M.Cumulative","WHD100M.Skip.to.Item"
"34","Drank a lot of water to not gain weight",466,466,"End of Section"
".","Missing",6168,6634,""
