"SXQ800.Code.or.Value","SXQ800.Value.Description","SXQ800.Count","SXQ800.Cumulative","SXQ800.Skip.to.Item"
"1","Yes",2099,2099,NA
"2","No",174,2273,NA
"7","Refused",4,2277,NA
"9","Don't know",5,2282,NA
".","Missing",3020,5302,NA
