"URXMHP.Code.or.Value","URXMHP.Value.Description","URXMHP.Count","URXMHP.Cumulative","URXMHP.Skip.to.Item"
"0.57 to 152.3","Range of Values",2975,2975,NA
".","Missing",230,3205,NA
