"DXXWDGDE.Code.or.Value","DXXWDGDE.Value.Description","DXXWDGDE.Count","DXXWDGDE.Cumulative","DXXWDGDE.Skip.to.Item"
"-0.052 to 0.26","Range of Values",3110,3110,NA
".","Missing",598,3708,NA
