"AUDTYL81.Code.or.Value","AUDTYL81.Value.Description","AUDTYL81.Count","AUDTYL81.Cumulative","AUDTYL81.Skip.to.Item"
"0 to 0.75","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
