"LBXV06.Code.or.Value","LBXV06.Value.Description","LBXV06.Count","LBXV06.Cumulative","LBXV06.Skip.to.Item"
"0.0863 to 21.5","Range of Values",2926,2926,NA
".","Missing",521,3447,NA
