"HSQ470.Code.or.Value","HSQ470.Value.Description","HSQ470.Count","HSQ470.Cumulative","HSQ470.Skip.to.Item"
"0 to 30","Range of Values",6333,6333,NA
"77","Refused",0,6333,NA
"99","Don't know",17,6350,NA
".","Missing",2957,9307,NA
