"DXXPT3Y.Code.or.Value","DXXPT3Y.Value.Description","DXXPT3Y.Count","DXXPT3Y.Cumulative","DXXPT3Y.Skip.to.Item"
"183.8 to 426.7","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
