"LBXSTB.Code.or.Value","LBXSTB.Value.Description","LBXSTB.Count","LBXSTB.Cumulative","LBXSTB.Skip.to.Item"
"0.1 to 7.1","Range of Values",6549,6549,NA
".","Missing",430,6979,NA
