"DR2IS040.Code.or.Value","DR2IS040.Value.Description","DR2IS040.Count","DR2IS040.Cumulative","DR2IS040.Skip.to.Item"
"0 to 5.36","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
