"AUDTYL62.Code.or.Value","AUDTYL62.Value.Description","AUDTYL62.Count","AUDTYL62.Cumulative","AUDTYL62.Skip.to.Item"
"0 to 2.69","Range of Values",1672,1672,NA
".","Missing",135,1807,NA
