"DR2IVB2.Code.or.Value","DR2IVB2.Value.Description","DR2IVB2.Count","DR2IVB2.Cumulative","DR2IVB2.Skip.to.Item"
"0 to 8.886","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
