"WBXP041.Code.or.Value","WBXP041.Value.Description","WBXP041.Count","WBXP041.Cumulative","WBXP041.Skip.to.Item"
"-165.9452 to 167.6578","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
