"RHQ172.Code.or.Value","RHQ172.Value.Description","RHQ172.Count","RHQ172.Cumulative","RHQ172.Skip.to.Item"
"1","Yes",335,335,""
"2","No",1733,2068,"RHQ171"
"7","Refused",0,2068,"RHQ171"
"9","Don't know",13,2081,"RHQ171"
".","Missing",1537,3618,""
