"LBC178LA.Code.or.Value","LBC178LA.Value.Description","LBC178LA.Count","LBC178LA.Cumulative","LBC178LA.Skip.to.Item"
"0.1131 to 8.321","Range of Values",249,249,NA
".","Missing",2,251,NA
