"SMQ040.Code.or.Value","SMQ040.Value.Description","SMQ040.Count","SMQ040.Cumulative","SMQ040.Skip.to.Item"
"1","Every day",1103,1103,"SMQ077"
"2","Some days",243,1346,"SMD641"
"3","Not at all",1520,2866,""
"7","Refused",0,2866,"SMAQUEX2"
"9","Don't know",0,2866,"SMAQUEX2"
".","Missing",4662,7528,""
