"DBQ780.Code.or.Value","DBQ780.Value.Description","DBQ780.Count","DBQ780.Cumulative","DBQ780.Skip.to.Item"
"1","Always",142,142,NA
"2","Most of the time",217,359,NA
"3","Sometimes",693,1052,NA
"4","Rarely",348,1400,NA
"5","Never",263,1663,NA
"6","Never seen",0,1663,NA
"7","Refused",0,1663,NA
"9","Don't know",1,1664,NA
".","Missing",381,2045,NA
