"CIQP11.Code.or.Value","CIQP11.Value.Description","CIQP11.Count","CIQP11.Cumulative","CIQP11.Skip.to.Item"
"1","Yes",9,9,""
"2","No",99,108,"CIQP13A"
"7","Refused",0,108,""
"9","Don't know",0,108,""
".","Missing",742,850,""
