"DR2IB12A.Code.or.Value","DR2IB12A.Value.Description","DR2IB12A.Count","DR2IB12A.Cumulative","DR2IB12A.Skip.to.Item"
"0 to 36.85","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
