"RFXC075.Code.or.Value","RFXC075.Value.Description","RFXC075.Count","RFXC075.Cumulative","RFXC075.Skip.to.Item"
"-7.531 to 4.5","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
