"URDUURLC.Code.or.Value","URDUURLC.Value.Description","URDUURLC.Count","URDUURLC.Cumulative","URDUURLC.Skip.to.Item"
"0","At or above the detection limit",2192,2192,NA
"1","Below lower detection limit",472,2664,NA
".","Missing",91,2755,NA
