"DR2TNUMF.Code.or.Value","DR2TNUMF.Value.Description","DR2TNUMF.Count","DR2TNUMF.Cumulative","DR2TNUMF.Skip.to.Item"
"0 to 42","Range of Values",8354,8354,NA
".","Missing",1289,9643,NA
