"DR2IS060.Code.or.Value","DR2IS060.Value.Description","DR2IS060.Count","DR2IS060.Cumulative","DR2IS060.Skip.to.Item"
"0 to 2.234","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
