"MCQ035.Code.or.Value","MCQ035.Value.Description","MCQ035.Count","MCQ035.Cumulative","MCQ035.Skip.to.Item"
"1","Yes",845,845,""
"2","No",459,1304,"MCQ053"
"7","Refused",0,1304,"MCQ053"
"9","Don't know",32,1336,"MCQ053"
".","Missing",8309,9645,""
