"DR1IS100.Code.or.Value","DR1IS100.Value.Description","DR1IS100.Count","DR1IS100.Cumulative","DR1IS100.Skip.to.Item"
"0 to 4.31","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
