"VIXPLS.Code.or.Value","VIXPLS.Value.Description","VIXPLS.Count","VIXPLS.Cumulative","VIXPLS.Skip.to.Item"
"-15.5 to 14.5","Range of Values",2202,2202,NA
"88","Could not obtain",41,2243,NA
".","Missing",5202,7445,NA
