"LBCBR11.Code.or.Value","LBCBR11.Value.Description","LBCBR11.Count","LBCBR11.Cumulative","LBCBR11.Skip.to.Item"
"17.6 to 189.6","Range of Values",247,247,NA
".","Missing",0,247,NA
