"SPAPLAT.Code.or.Value","SPAPLAT.Value.Description","SPAPLAT.Count","SPAPLAT.Cumulative","SPAPLAT.Skip.to.Item"
"Y","Yes",27473,27473,NA
"N","No",7384,34857,NA
"< blank >","Missing",0,34857,NA
