"AUDTYR59.Code.or.Value","AUDTYR59.Value.Description","AUDTYR59.Count","AUDTYR59.Cumulative","AUDTYR59.Skip.to.Item"
"0 to 2.16","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
