"LBXGH.Code.or.Value","LBXGH.Value.Description","LBXGH.Count","LBXGH.Cumulative","LBXGH.Skip.to.Item"
"3.3 to 18.8","Range of Values",6999,6999,NA
".","Missing",446,7445,NA
