"WBXF009.Code.or.Value","WBXF009.Value.Description","WBXF009.Count","WBXF009.Cumulative","WBXF009.Skip.to.Item"
"408.4789 to 408.4789","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
