"DR2LANG.Code.or.Value","DR2LANG.Value.Description","DR2LANG.Count","DR2LANG.Cumulative","DR2LANG.Skip.to.Item"
"1","English",85048,85048,NA
"2","Spanish",7516,92564,NA
"3","English and Spanish",334,92898,NA
"4","Other",26,92924,NA
"5","Asian Languages",576,93500,NA
"6","Asian Languages and English",0,93500,NA
".","Missing",0,93500,NA
