"DXXPT92X.Code.or.Value","DXXPT92X.Value.Description","DXXPT92X.Count","DXXPT92X.Cumulative","DXXPT92X.Skip.to.Item"
"78.1 to 633.6","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
