"HIQ011.Code.or.Value","HIQ011.Value.Description","HIQ011.Count","HIQ011.Cumulative","HIQ011.Skip.to.Item"
"1","Yes",8594,8594,""
"2","No",1570,10164,"HIQ065"
"7","Refused",3,10167,"HIQ065"
"9","Don't know",8,10175,"HIQ065"
".","Missing",0,10175,""
