"HSQ490.Code.or.Value","HSQ490.Value.Description","HSQ490.Count","HSQ490.Cumulative","HSQ490.Skip.to.Item"
"0 to 30","Range of Values",6336,6336,NA
"77","Refused",0,6336,NA
"99","Don't know",12,6348,NA
".","Missing",2959,9307,NA
