"DXXPT77Y.Code.or.Value","DXXPT77Y.Value.Description","DXXPT77Y.Count","DXXPT77Y.Cumulative","DXXPT77Y.Skip.to.Item"
"79 to 312.8","Range of Values",3301,3301,NA
".","Missing",407,3708,NA
